model_type,validation_date,clf,parameters,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,baseline,len_x_train
DT,2012-07-01,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 1}",0.5957612514017483,0.0,0.0,0.0,0.004168784951703101,0.00213512276955925,0.16809570610363642,0.5008438561174485,0.0,0.0,0.0,0.0014776372220420225,0.00151367715428695,0.1787580639348398,0.8876995711248062,0.31330404613804,21423
DT,2013-01-01,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 1}",0.5968977979887973,0.0,0.0,0.0,0.11991467316775865,0.05995733658387933,0.20671440906089694,0.5239981715678805,0.0,0.0,0.0,0.04069496871606598,0.04069496871606598,0.2104555561300998,0.889135942913284,0.2835884808737385,50100
DT,2013-07-01,"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best')","{'min_samples_split': 10, 'criterion': 'gini', 'max_depth': 1}",0.5954318177622483,0.0,0.0,0.0,0.07107175295186194,0.035531842433874444,0.19041852720805266,0.5142130596676051,0.0,0.0,0.0,0.025013985455126668,0.025013985455126668,0.2010708862782706,0.9049788220250939,0.28992581309554066,74359
RF,2012-07-01,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'min_samples_split': 10, 'n_estimators': 1, 'max_depth': 1, 'max_features': 'sqrt'}",0.5511108548117232,0.0,0.0,0.0,0.0,0.0,0.1666045345172332,0.444986681307062,0.0,0.0,0.0,0.0,0.0,0.177172306916063,0.7886978772479908,0.3214865242779347,21423
RF,2013-01-01,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'min_samples_split': 10, 'n_estimators': 1, 'max_depth': 1, 'max_features': 'sqrt'}",0.5364097093009421,0.0,0.0,0.0,0.0,0.0,0.1665904819950226,0.4331860429681548,0.0,0.0,0.0,0.0,0.0,0.16960546046848338,0.7350431769998449,0.28251572066480907,50100
RF,2013-07-01,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=1, max_features='sqrt', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=10,
            min_weight_fraction_leaf=0.0, n_estimators=1, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'min_samples_split': 10, 'n_estimators': 1, 'max_depth': 1, 'max_features': 'sqrt'}",0.5093037656668601,0.0022727272727272726,0.0011363636363636363,0.00045413260672116256,0.319936421435059,0.38585537518447044,0.32687504730189965,0.5682045227499773,7.991688643810437e-05,7.991688643810437e-05,7.991688643810437e-05,0.11260289299128906,0.27163749700311673,0.3451610325261728,1.0,0.28386016980190626,74359
AB,2012-07-01,"AdaBoostClassifier(algorithm='SAMME',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
          learning_rate=1.0, n_estimators=1, random_state=None)","{'n_estimators': 1, 'algorithm': 'SAMME'}",0.5957612514017483,0.0,0.0,0.0,0.004168784951703101,0.00213512276955925,0.16809570610363642,0.5008438561174485,0.0,0.0,0.0,0.0014776372220420225,0.00151367715428695,0.1787580639348398,0.8876995711248062,0.40839457287594216,21423
AB,2013-01-01,"AdaBoostClassifier(algorithm='SAMME',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
          learning_rate=1.0, n_estimators=1, random_state=None)","{'n_estimators': 1, 'algorithm': 'SAMME'}",0.5968977979887973,0.0,0.0,0.0,0.11991467316775865,0.05995733658387933,0.20671440906089694,0.5239981715678805,0.0,0.0,0.0,0.04069496871606598,0.04069496871606598,0.2104555561300998,0.889135942913284,0.39417014604624545,50100
AB,2013-07-01,"AdaBoostClassifier(algorithm='SAMME',
          base_estimator=DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=1,
            max_features=None, max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'),
          learning_rate=1.0, n_estimators=1, random_state=None)","{'n_estimators': 1, 'algorithm': 'SAMME'}",0.5954318177622483,0.0,0.0,0.0,0.07107175295186194,0.035531842433874444,0.19041852720805266,0.5142130596676051,0.0,0.0,0.0,0.025013985455126668,0.025013985455126668,0.2010708862782706,0.9049788220250939,0.3972043056586623,74359
KNN,2012-07-01,"KNeighborsClassifier(algorithm='auto', leaf_size=30, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=5, p=2,
           weights='uniform')","{'weights': 'uniform', 'algorithm': 'auto', 'n_neighbors': 5}",0.5856497868102142,0.392675483214649,0.22419928825622776,0.28391295505389463,0.2807320793085918,0.35188856692593157,0.29260853356830585,0.3465096890949389,0.013911413846541968,0.015893610120012974,0.05031174541391862,0.0995062529282445,0.24946841099938732,0.311168775002703,0.6141564853858075,0.33310830732317326,21423
